text,created_at
"New iPad Air moves Touch ID to power button, has USB-C says leaker
https://t.co/Qp16IwDt7U https://t.co/uX0mFwYENf",8/28/2020
"Apple's smart 'AirTags' tracking device outlined in patent filing
https://t.co/00fDrqytzE https://t.co/MbN9NXpOs1",8/28/2020
"RT @Andrew_OSU : We’ve seen many credible #iPadAir rumors the last few days! The launch appears imminent! Learn more about #iPadAir4 and #iPadmini in my latest @appleinsider video w/sources in the description! #RumorRoundup #Apple #News 

https://t.co/57FWdPlEi4",8/27/2020
"Apple may launch its own web-based search engine
https://t.co/VNNxOvJFRz https://t.co/wUdqf4Wb79",8/27/2020
#JapanDisplay is reportedly finalizing its plan to sell its primary LCD production facility to Sharp in order to ease its debts to #Apple.  https://t.co/dAeNkZS2qk https://t.co/OHIEfFcvcI,8/27/2020
"After facing significant delays brought about by the coronavirus pandemic, sci-fi drama series ""#Invasion"" is set to resume production with new safety protocols. #AppleTV+  https://t.co/bqu58RvXhQ https://t.co/NvvrShM4TW",8/27/2020
#Review: The new @SanDisk Extreme Pro CFExpress card reader is a blazing fast USB-C accessory for your #Mac or #iPadPro that pairs perfectly with your new CFExpress cards and new camera. https://t.co/S7RpGSg4i7 https://t.co/i6zrJHPmjz,8/27/2020
"Apple &amp; other tech giants seek dismissal of cobalt mine child labor suit
https://t.co/kH6Rm9TDoX https://t.co/BjZuHcljJb",8/27/2020
"#Apple may not include EarPods or a charging brick with ""#iPhone12"" models in 2020 as a way of offsetting increased production costs due to new 5G components. https://t.co/8TOAxuBA7e https://t.co/0jVXCkPDED",8/27/2020
"#Apple's upcoming four-for-one stock split will make its shares much more affordable for users, and if you're looking for a free and easy way to pick up AAPL stock, Robinhood is a good bet. https://t.co/HVysqirHy1 https://t.co/oUIb2CjtJd",8/27/2020
"TikTok's new CEO quits ahead of US ban
https://t.co/oX0wL1dwkW https://t.co/ab3vbMTz7k",8/27/2020
#Apple on Thursday released the third beta version of its upcoming #watchOS7 update to members of its public software testing program. https://t.co/VSgawwXZVY https://t.co/9Jker3kd22,8/27/2020
"Flash deal: Save $400 on loaded 8-core 16-inch MacBook Pro with 64GB RAM
https://t.co/fmq2wXX3Tk https://t.co/JVPyaWZNb5",8/27/2020
"Just swapping to another band may be enough to make a future #AppleWatch reconfigure settings, start workouts, and track your strap usage. https://t.co/Oiuxgk3N1g https://t.co/RUHg1h8KAc",8/27/2020
"#Apple's high-end 2020 #MacBookAir with a quad-core processor, 16GB of memory and 512GB SSD is on sale for $1,399 for a limited time. https://t.co/j3ykw1AUsv https://t.co/SJBExctjJu",8/27/2020
"The Amazon #HaloBand is a new health and wellness tracker that monitors your activity, sleep, and even the tone of your voice. #AmazonHalo #Halo https://t.co/LQH6WOmkJ6 https://t.co/SRYUuB2E7G",8/27/2020
The resignation of #TikTok CEO Kevin Meyer could mean that a deal to sell to a US company -- likely to #Microsoft -- is imminent. https://t.co/OPhWHXswAV https://t.co/mwjIlsSFz1,8/27/2020
"#AppleGlass will present wearers with new #AR views of real or virtual surroundings, and #Apple is working on technology so users to can zoom and magnify the images smoothly. https://t.co/CBoJs7cTVE https://t.co/iQZ5EdkLpr",8/27/2020
"Here's where #AppleStores have opened, as well as where they are closed, updated on August 27 with five stores opening in Ohio on August 29. https://t.co/lOrs2jsEXn https://t.co/LAABKXhfpr",8/27/2020
Apple is losing its grip on the true wireless earbud market as competitors release cheaper alternatives to Apple's #AirPods. https://t.co/ZiraxW1eXq https://t.co/Wr98CufpyR,8/27/2020
"#Apple has put a spotlight on how one teacher in Birmingham City, Alabama is preparing to start remote learning, with the assistance of Apple hardware and software. https://t.co/cyaIvINljI https://t.co/MMMQ2bPrLC",8/27/2020
RT @Mike_Wuerthele : Samsung didn't even use actual Lego. They used clone blocks. https://t.co/owYtlGejeQ,8/27/2020
"#Apple is examining a shift from a force sensor in #AirPods to a capacitive touch system to make a set easier to control, and provide new options. https://t.co/rifkYARQA9 https://t.co/tTbCUBpVWJ",8/27/2020
"#Apple, in conjunction with Dell, Google, Microsoft, and Tesla have requested a dismissal of a class-action suit alleging tech companies have knowingly exploited underage labor in cobalt mining.
 https://t.co/kH6Rm9TDoX https://t.co/tQOGhuxKBe",8/27/2020
"A new report claims that factors are increasingly pointing to Apple expanding #Siri search and Spotlight Searches even farther, with the company potentially working on a web-based search engine https://t.co/VNNxOvJFRz https://t.co/5jnpowl2Ww",8/27/2020
"Two months after joining #TikTok, CEO Kevin Mayer has resigned citing the politics around and impending ban in the US, and its impact on the global nature of the social media service. https://t.co/oX0wL1dwkW https://t.co/oi7awofM6T",8/27/2020
"A leaker has posted what are purported to be images of a forthcoming #iPadAir manual, which show a larger display, and #TouchID relegated to to the sleep/wake power button. https://t.co/Qp16IwDt7U https://t.co/qFBbshHBBA",8/27/2020
.@Apple’s smart ‘#AirTags’ tracking device outlined in patent filing https://t.co/00fDrqytzE https://t.co/NBi42uoU45,8/27/2020
.@Apple environment chief @LisaPJackson to speak at sustainability summit in September https://t.co/Yc8smkJVET https://t.co/A3IaQg3pNB,8/27/2020
"One share to 224: How Apple stock has grown in terms of gas, milk, and Macs
https://t.co/1d8It0UVhX https://t.co/VLW2mQpxD4",8/27/2020
"Supposed 'iPhone 12 Pro Max' screenshots show Camera &amp; LiDAR settings, hint at 120Hz display
https://t.co/Iexu6E9eLf https://t.co/8xPzV6I3Hu",8/27/2020
"Apple about to release seven iPads, eight 'Apple Watch Series 6' models
https://t.co/tmwoj8kmG3 https://t.co/R1a8cuVZi4",8/27/2020
"Today's deals: $500 off Apple Pro Display XDR, AirPods from $129, up to $500 off iPad Pros
https://t.co/DjAyKQX7d7 https://t.co/gp0IDKwrQK",8/27/2020
Congressman says antitrust hearing confirmed @Apple’s ‘deeply disturbing’ behavior https://t.co/BIQKgDoRtR https://t.co/g6bWeakHub,8/26/2020
"Siri will let users interact with apps when summoned on iPadOS 14
https://t.co/15jVap7SnP https://t.co/DBWrpkWOCD",8/26/2020
"Apple TV+ to add bonus augmented reality to shows in 2021
https://t.co/WQj4q1bY9W https://t.co/w7WeMqVBtB",8/26/2020
"#Apple has partnered with #GallaudetUniversity on a new ""multifaceted"" accessibility and education program that will include an iPad Pro initiative and scholarship support. https://t.co/v3tb9x4oJ9 https://t.co/9RzLV6PpWq",8/26/2020
Flash deal: Save $400 on loaded 8-core 16-inch MacBook Pro with 64GB RAM https://t.co/fmq2wXFsuK https://t.co/isggmKfBQL,8/26/2020
"Apple's Tim Cook receives stock award worth $282M, sells $132M
https://t.co/jTmwlLGRQy https://t.co/CyaG7jJnWA",8/26/2020
"Digital contact tracing is an avenue to combat #COVID19 in the U.S., but each state and territory has to carry out their own tracing. Here's who's doing what, updated on August 26. https://t.co/rMQ5u9mlk3 https://t.co/WHX7uHY8Lf",8/26/2020
"Apple reportedly in negotiations to expand New York City office location
https://t.co/nFWKlHRzMR https://t.co/IiXYNpXpHZ",8/26/2020
"Apple is still developing a 'less ambitious' wireless charging mat
https://t.co/ciECcJc649 https://t.co/t3HhUxt1hi",8/26/2020
"Apple continues to brainstorm new ways to lure in #AppleTVplus subscribers, including potentially extending the free trial period for new hardware purchasers in the fall. https://t.co/AnkUJRtDG8 https://t.co/ybFRVPaXAH",8/26/2020
@Jadeye_hu We're not sure what's going on just yet. We've got it on two phones that are NOT on the beta program in any way. Post updated.,8/26/2020
"Update - On Wednesday, #Apple released #iOS13.7 and #iPadOS13.7 betas, with iOS 13.7 introducing a promised update to Exposure Notification removing the public health app install requirement https://t.co/yFFd5KCVEM https://t.co/kkLR5UvoIg",8/26/2020
"Three upcoming #AppleTVplus documentaries, ""Tiny World,"" ""Becoming You,"" and ""Earth At Night In Color,"" aim to reveal the wonders of both the natural world and human development. https://t.co/3EwKf0FHUB https://t.co/Q0NeREqd8d",8/26/2020
#Facebook on Wednesday warned that recent anti-tracking features in #Apple's #iOS14 could lead to a more than 50% drop in Audience Network revenue for advertisers. https://t.co/rdJyx08jDs https://t.co/PqqcDXjYiw,8/26/2020
The latest BookBook products by @TwelveSouth provide six-sided protection for your #iPadPro and #MagicKeyboard. https://t.co/WnInpylAW9 https://t.co/XNRw680Z3t,8/26/2020
"#EpicGames confirmed that the upcoming season of #Fortnite will not be available on #iOS or #macOS devices, suggesting that the company will continue to refuse compliance with #Apple guidelines. https://t.co/bFEDqWXvU5 https://t.co/Z9uUQuAJWU",8/26/2020
"A company that sued #Apple over allegedly infringing its ""#Memoji"" trademark has appealed a district court decision that sided with the Cupertino tech giant. https://t.co/AjOBRuTkcW https://t.co/JLksFcBepA",8/26/2020
"DJI has announced the OM 4 #iPhone gimbal, built to manage the technical details of filming so users can focus on capturing footage. https://t.co/UUr4709Xyc https://t.co/gS47XyACMv",8/26/2020
"Seven new variations of #iPad, and eight varieties of #AppleWatch have now been listed on the European Economic Commission's website, which typically means they are shortly to be released. https://t.co/tmwoj8kmG3 https://t.co/VrEeB7js4d",8/26/2020
#AppleMaps may replace Yelp and other third-party solutions with an in-house user review system when #iOS14 releases this fall. https://t.co/1Firh2WlYV https://t.co/gAtoW3ql04,8/26/2020
"Today's #deals: $500 off #Apple Pro Display XDR, #AirPods from $129, up to $500 off #iPad Pros https://t.co/DjAyKQX7d7 https://t.co/NH4IPiG3f3",8/26/2020
"Investment bank Wedbush has raised its $AAPL price target to an industry-high $600 on the upcoming ""#iPhone12"" cycle and signs of strength in the critical region of China. https://t.co/h0ZEVsJnzL https://t.co/wX9LHZc39Q",8/26/2020
"In #iPadOS14 beta 6, users can ask #Siri to perform tasks while interacting with their apps in the background. https://t.co/15jVap7SnP https://t.co/qqkU7QYzp1",8/26/2020
The Korean government will investigate claims that #Apple's #AppStore and the #GooglePlay Store charge excessive fees to developers when customers make in-app purchases. https://t.co/46UQkN92Wx https://t.co/KMmYjFT4Ay,8/26/2020
Apple stock is about to split for the fifth time in its 40-year availability. Here's what you could've bought if you sold your shares each time Apple split its stock since it first went public in 1980 https://t.co/1d8It0UVhX https://t.co/hmN9ix7D5i,8/26/2020
Audio transcriptions can now be completed within #MicrosoftWord for the web thanks to a new update available to #Microsoft365 subscribers. https://t.co/YncFq7yyxU https://t.co/dQOnrhViXc,8/26/2020
"Apple AR is reportedly going to be tapped to supply extra content for #appletvplus shows, integrating characters or props around viewers' devices. https://t.co/WQj4q1bY9W https://t.co/RXCIF3fLCe",8/26/2020
"Apple Car may have integrated air scenting tech in a compact unit
https://t.co/S4hzW1vNyg https://t.co/yIwJFkST0A",8/26/2020
"Apple Car cameras may identify landmarks &amp; objects of interest, detect broken windows
https://t.co/bS8dn1xewP https://t.co/rnHXZASMHz",8/26/2020
"Judge orders Apple can't block Epic's Unreal Engine, Fortnite to remain banned
https://t.co/XQXQYfebzM https://t.co/XBDm0YSXE2",8/26/2020
"UPDATE: NOW WITH VIDEO
Leaked images from an alleged production verification testing ""#iPhone12Pro"" model have surfaced online, revealing potential camera and display settings.  https://t.co/Iexu6E9eLf https://t.co/squlJwvkKr",8/26/2020
"Fitbit announces new Fitbit Sense smartwatch to help keep stress in check
https://t.co/HCgLEz3jrr https://t.co/eU84zhvbj2",8/26/2020
".@Apple's @Tim_Cook receives stock award worth $282M, sells $132M https://t.co/jTmwlLGRQy https://t.co/8Q9ib2NGqv",8/25/2020
"CompUSA brand lurches back from the grave
https://t.co/zPWQcSgPCh https://t.co/J6KY2tMkfF",8/25/2020
.@Apple #iPhone shipments flat in Q2 despite wider market decline https://t.co/rdbiweGXsT https://t.co/RMpmyY4PrB,8/25/2020
"Review: Nomad Base Station Pro is the free-placement wireless charger we've been waiting for
https://t.co/DjdHtAsZFB https://t.co/O6tbtYUUJU",8/25/2020
"Leaked images from an alleged production verification testing ""#iPhone12Pro"" model have surfaced online, revealing potential camera and display sett https://t.co/Iexu6E9eLf https://t.co/RgEBcgOy0g",8/25/2020
#Apple reportedly in negotiations to expand New York City office location https://t.co/nFWKlHRzMR https://t.co/fW2gILJMDz,8/25/2020
"Apple Glass could use wireless basestations to offload graphical processing
https://t.co/xg0D6mE6p9 https://t.co/5eWmsDcisq",8/25/2020
"Level Touch is a compact HomeKit smart lock that can be controlled with a tap
https://t.co/9tzT6Bm8bl https://t.co/3UMcoqPmCj",8/25/2020
"#Apple is reportedly developing a ""less ambitious"" wireless charging device for the #iPhone more than a year after the demise of #AirPower. https://t.co/ciECcJc649 https://t.co/J7P6UPoJbH",8/25/2020
"Logitech G launches new line of colorful gaming peripherals
https://t.co/cM0nA1iQ2Z https://t.co/SyuWyuYAfv",8/25/2020
"Apple applauded a California court for denying Epic Games' request for a temporary restraining order on its removal of #Fortnite, reiterating it would restore the game if Epic removed direct payments https://t.co/zFoFSexH8z https://t.co/XzbaER7zdB",8/25/2020
"The sxith round of developer betas are out now! If you are running #iOS14, #iPadOS14, #tvOS14, or #watchOS7 let @Andrew_OSU know if you notice any changes in this beta. We are trying to track down all the changes right now.",8/25/2020
"Apple is now on round six of its milestone betas, with new builds of #iOS14, #iPadOS14, #tvOS14, and #watchOS7 available to download by developers.  https://t.co/J3PFGeR9VY https://t.co/sW7i5Zjw9s",8/25/2020
"RT @Andrew_OSU : The new @nomadgoods Base Station Pro is expensive, and niche, but hella cool. It’s may be hard to justify, but I just love it. Check out my @appleinsider video review of how seamless this works!
https://t.co/7naAbGupG8",8/25/2020
"Tuesday's update to #Apple's #iMovie provides new soundtracks, new filters, bug fixes, and stability improvements for #Mac, #iOS, and #iPadOS users. https://t.co/kICXwoGFMk https://t.co/CK8UZnFn9B",8/25/2020
Investment bank Cowen has raised its 12-month $AAPL price target to $530 on an uptick in its #Apple #iPhone build estimate for the third quarter. https://t.co/StTnvAdupn https://t.co/kX9sWZ3Kvd,8/25/2020
"Expand your #MacBookAir, #MacBookPro, or #iPadPro ports for under $30 with Plugable's new USB-C 7-in-1 hub. https://t.co/rVk3kMUVU7 https://t.co/4XTcdMOBjO",8/25/2020
"The air conditioning in the rumored #AppleCar may offer a few surprises for users, with the unit perhaps capable of scenting air, as well as the possibility of being hidden from view. https://t.co/S4hzW1vNyg https://t.co/N6RGXUNQM8",8/25/2020
"#Apple has updated Final Cut Pro X to version 10.4.9, with many workflow improvements, proxy workflow enhancements, and tailored templates with machine learning cropping for social media. #FCPX https://t.co/lsZtLrseQj https://t.co/55GhDvvr8w",8/25/2020
"#Apple supplier TSMC has detailed some of the performance or power improvements from its new 5nm chip manufacturing process, expected to be used in the #iPhone12 https://t.co/UziVaIjkFi https://t.co/uFUjEjHexk",8/25/2020
"Beyond self-driving, the #AppleCar may use its cameras to identify objects of interest and other vehicles, and for detecting damage to the car's windows.  https://t.co/bS8dn1fD8f https://t.co/1tFQHA8K7D",8/25/2020
"#Fitbit, known for its line of health and activity tracking wearables, has announced the Fitbit Sense, a new stress-tracking smartwatch. https://t.co/HCgLEzkUiZ https://t.co/3gseJtLxXd",8/25/2020
"CompUSA, the computer retailer and Apple hardware vendor that went belly-up over a decade ago, is back from the dead featuring curated selections of technology deals. https://t.co/zPWQcSgPCh https://t.co/LGgP8XYnXr",8/25/2020
".@NomadGood’s impressive Base Station Pro is finally available to order, &amp; after using this new free-position, 3-device wireless charger for the past couple weeks, we're sold on the future of charging https://t.co/DjdHtAsZFB https://t.co/sSvwG4hjrD",8/25/2020
"The long-rumored #AppleGlass AR headset could take advantage of a base station for wireless communications, helping it save weight.  https://t.co/xg0D6mE6p9 https://t.co/xwJCZBaTsO",8/25/2020
"Chinese supply chain sources are pointing to increased #MacBookAir and #MacBookPro sales, thanks to an increase in work-from-home activities. https://t.co/Z6g50nhpjI https://t.co/pcNWPcaPcl",8/25/2020
"Level is out with its latest smart lock, the Level Touch which can be controlled by a tap or through #Apple #HomeKit. https://t.co/9tzT6Bm8bl https://t.co/PhCZ1nAVYU",8/25/2020
"Apple Pay has been enabled for the @Sparkasse Giro card in Germany, enabling it to be used for debit transactions directly from a customer's bank account.  https://t.co/Q7EC5xoUiP https://t.co/xKlBPgla17",8/25/2020
"Apple is getting ready to start online sales in #India, a report claims, at the same time as rumors of a second #AppleStore location being scouted in Bangalore.  https://t.co/eCWGXkxeUi https://t.co/nuDvC7nxKr",8/25/2020
".@LogitechG launches new line of colorful gaming peripherals including new G733 wireless gaming headset, G203 mouse, &amp; updated G915 keyboard &amp; G305 mouse https://t.co/cM0nA1iQ2Z https://t.co/rAhZnPORik",8/25/2020
"#Apple can’t block #Epic from updating Unreal Engine, #Fortnite to remain banned https://t.co/XQXQYfebzM https://t.co/JJkcJOpXz6",8/25/2020
"Apple confirms plan to produce iPhone SE locally in India
https://t.co/QY1SRrunIT https://t.co/eiHCS02oMv",8/25/2020
"Month-end Apple deals at Amazon offer lowest prices on AirPods Pro, Apple Watch, MacBook Air, MacBook Pro
https://t.co/qoXgEvPQ6F https://t.co/IV0TWabLis",8/25/2020
Researcher reveals #Safari data leak bug after @Apple delays patch to 2021 https://t.co/Zic8cFEMDn https://t.co/GCSWs1GcRG,8/25/2020
"Foxconn, Pegatron discussions could bring iPhone production to Mexico
https://t.co/OFfkY93ZSy https://t.co/yWpcjxgAwP",8/25/2020
"Unreleased prototype Mac mini with iPod nano dock surfaces in photos
https://t.co/gElqOmwy0x https://t.co/y7v1gwJgMX",8/25/2020
"US District Judge 'inclined' to grant protection to #Epic's Unreal Engine, not #Fortnite in TRO ruling.  https://t.co/G5ByntT91A https://t.co/2zH3x6f8uW",8/24/2020
#Apple reportedly acquires AR startup Spaces https://t.co/f7zSjA3JwZ https://t.co/uBCLfvJqeh,8/24/2020
#Apple CEO @Tim_Cook donates $5M in company stock to charity https://t.co/O5gzpdDBel https://t.co/BtHAxQ1IlR,8/24/2020
"WeChat users sue White House to fight executive order banning the app
https://t.co/W2FEt702fv https://t.co/Pi6XPg6qn9",8/24/2020
"Here's how Apple's four-for-one stock split works
https://t.co/ZSwc7SERnF https://t.co/viPlHUcPC7",8/24/2020
#Apple is planning on reopening some of its U.S. retail locations that it previously re-closed over the summer due to localized spikes of COVID-19. https://t.co/hq3JaPhKXq https://t.co/zTcq9sRhRH,8/24/2020
Malicious code that steals ad click revenue within apps and harvests user data has been discovered in a popular #iOS software development kit. https://t.co/U5ycYfzva0 https://t.co/bBeqNab4c2,8/24/2020
"Review: Clayton &amp; Crume leather MacBook Pro sleeve offers handcrafted protection on the go
https://t.co/Vwb779fiq0 https://t.co/Ix1CjmnVPB",8/24/2020
"Apple pledges $84M to fund programs in bid to end South Korea antitrust investigation
https://t.co/8uorlZHYeF https://t.co/VK6iXnE8lh",8/24/2020
"Confused about the differences between #USB and #Thunderbolt? Here's everything you need to know about the standards, including the inbound #USB4 and #Thunderbolt4.  https://t.co/mmf0M5PYL8 https://t.co/RJA9X07E3v",8/24/2020
"Apple versus Epic Games 'Fortnite' App Store saga -- the story so far
https://t.co/RL13QN9iEN https://t.co/KxhDNbkVoW",8/24/2020
"#TikTok's long-awaited legal challenge against a presidential executive order banning the app has arrived, with the video sharing service suing to ""protect our rights, and the rights of our community"" https://t.co/twSFF61xpl https://t.co/1UVkIHLuPd",8/24/2020
"#AppleTVplus has inked a deal for an adaptation of Sarah Perry novel #TheEssexSerpent starring #KeiraKnightley, who will also executive produce. https://t.co/FdoVFfdXcT https://t.co/tdPSA06V6G",8/24/2020
"#Apple on Monday confirmed plans to locally manufacture the #iPhoneSE in India, likely a part of a broader strategy to bolster its footprint in the country. https://t.co/QY1SRrunIT https://t.co/nE9yd9s6DR",8/24/2020
"#Apple is celebrating the 104th anniversary of the U.S. National Park Service with donations, activities, and special content collections on its platforms. https://t.co/TlXIrlxgPU https://t.co/XdO3u2glZ3",8/24/2020
"Month-end #deals offer lowest prices on #AirPods Pro, #Apple Watch, #MacBookAir, #MacBookPro and more. https://t.co/qoXgEvPQ6F https://t.co/zLfiGbb69Q",8/24/2020
"#Apple has released a new promotional video for #AppleMusic, a graphic-heavy piece that illustrates the breadth of content the music streaming service offers to its subscribers.  https://t.co/IluPAHiP1v https://t.co/CspbNMZahg",8/24/2020
"#Apple's assembly partners Foxconn and Pegatron are allegedly in talks to open new facilities in #Mexico, which could result in #iPhone production in the Americas.  https://t.co/OFfkY93ZSy https://t.co/RvXeDAgCz7",8/24/2020
".#Zoom is experiencing widespread outages in the U.S., complicating the start of the school year as teachers and students switch to remote learning during the coronavirus pandemic. https://t.co/28FydziRE8 https://t.co/c2TH5hydsr",8/24/2020
"Photographs of an unreleased prototype of the #Macmini have surfaced via @DongleBookPro, showing a version with an #iPod dock build into the unit.  https://t.co/gElqOmwy0x https://t.co/1KhDWpBWB5",8/24/2020
"Monday is a key deadline for participation in the $aapl four-for-one stock split. Here's how it works, and what you need to know about the August 24 start of the process, and completion on August 31. https://t.co/ZSwc7SERnF https://t.co/VB0busUxNE",8/24/2020
"While he'd filled in for #SteveJobs before, August 24, 2011 was the moment when #Apple formally became #TimCook's company, and he began growing it to a $2 trillion firm. https://t.co/CspmNNxroy https://t.co/ZNhjuiunGK",8/24/2020
Apple's stock has hit a new milestone -- $500 per share -- in pre-market trading on Monday after a particularly profitable quarter.  $aapl https://t.co/vfjnYuPcHt https://t.co/p2qPx6ouSB,8/24/2020
"Apple has proposed paying out 100 billion won ($84 million) to fund support programs to assist consumers and small businesses, in a bid to settle an antitrust investigation by South Korean regulators. https://t.co/8uorlZHYeF https://t.co/772ZqETaig",8/24/2020
"Here are all of the #AppleStore openings, moves, and remodels in 2018 and 2019 so far,  August 24 with the new Marina Bay Sands store opening in Singapore. https://t.co/mkKuAD6fTm https://t.co/WSrtBCGGo2",8/24/2020
"If you're not able to pay $1000 or more for a new machine, you can squeeze out a few more years with a storage upgrade for some older #MacBookAir or #MacBookPro models. Here's how to do it. https://t.co/MhX54wFREe https://t.co/nb0Nl4vDoD",8/23/2020
"A group of #WeChat users have sued the #WhiteHouse to try and stop the executive order that would effectively ban the app in the United States, claiming the order is unconstitutional.  https://t.co/W2FEt702fv https://t.co/c8fUfdnNsr",8/23/2020
"In the latest courtroom filing in the Apple and Epic #Fortnite fight over #AppStore policies, Epic has called Apple's threat to pull developer tool access as ""unlawful.""  https://t.co/6fiUAa22ln https://t.co/1cSd6yG9Xh",8/23/2020
"Review: The new Clayton &amp; Crume Horween full-grain leather sleeve is a premium, classy way to tote around your #MacBookPro while also keeping it well-protected. https://t.co/Vwb779fiq0 https://t.co/zzvOQ1FzEI",8/23/2020
Apple and Epic's public fight over in-app payments and #AppStore policies following the pulling of #Fortnite for #iOS has led to lawsuits and bickering. Here's the story so far.  https://t.co/RL13QN9iEN https://t.co/THibrie9ct,8/23/2020
"The #AppleMaps app for #iOS has started to test out updated maps for the UK and Ireland, ahead of a full rollout this year as part of #iOS14.  https://t.co/mJ9QTXOzz0 https://t.co/jev22XWWiT",8/23/2020
"Apple has apologized for mistakenly applying a ""lock"" to the #Wordpress #iOS app, a problem that has been rectified.  https://t.co/cBbmtU3UK1 https://t.co/qu2xyAEQgl",8/22/2020
"According to Bill Gates, tech companies like Apple ""deserve"" to face increased scrutiny for their actions, but it's all part of the territory.  https://t.co/DTj2nlh4k2 https://t.co/XzEOWTXZC7",8/22/2020
"TikTok is still working on its legal challenge against an executive order that would effectively ban the app in the United States, with sources claiming a filing may occur on Monday at the earliest.  https://t.co/CTxELKdAP2 https://t.co/fLQOjHT8be",8/22/2020
"Review: @Belkin looks to corner the budget Bluetooth audio market with its new true wireless earbuds that pack water resistance, long battery, strong bass, and a cheap price. https://t.co/k2ZBoeuqOu https://t.co/zHhchHJNY3",8/22/2020
"Apple is extending its fight against the Prepear recipe app's logo, by lodging trademark complaints in Canada.  https://t.co/FmCDzLHRhV https://t.co/oh4wEocvhY",8/22/2020
